rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,tau_error,abs_tau_error,tau_within_tolerance,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.15,0.25,30,true,50,37,20,false,7,7,false,,,
2,2027,0.15,0.25,30,true,30,19,0,false,-11,11,false,,,
3,2028,0.15,0.25,30,true,50,38,20,false,8,8,false,,,
4,2029,0.15,0.25,30,true,20,13,-10,true,-17,17,false,,,
5,2030,0.15,0.25,30,true,20,14,-10,true,-16,16,false,,,
6,2031,0.15,0.25,30,true,50,31,20,false,1,1,true,,,
7,2032,0.15,0.25,30,true,40,33,10,false,3,3,true,,,
8,2033,0.15,0.25,30,true,40,34,10,false,4,4,false,,,
9,2034,0.15,0.25,30,true,50,40,20,false,10,10,false,,,
10,2035,0.15,0.25,30,true,50,34,20,false,4,4,false,,,
11,2036,0.15,0.25,30,true,40,34,10,false,4,4,false,,,
12,2037,0.15,0.25,30,true,20,14,-10,true,-16,16,false,,,
13,2038,0.15,0.25,30,true,20,13,-10,true,-17,17,false,,,
14,2039,0.15,0.25,30,true,50,34,20,false,4,4,false,,,
15,2040,0.15,0.25,30,true,50,31,20,false,1,1,true,,,
16,2041,0.15,0.25,30,true,20,13,-10,true,-17,17,false,,,
17,2042,0.15,0.25,30,true,50,43,20,false,13,13,false,,,
18,2043,0.15,0.25,30,true,50,40,20,false,10,10,false,,,
19,2044,0.15,0.25,30,true,50,27,20,false,-3,3,true,,,
20,2045,0.15,0.25,30,true,50,41,20,false,11,11,false,,,
21,2046,0.15,0.25,30,true,50,19,20,false,-11,11,false,,,
22,2047,0.15,0.25,30,true,50,40,20,false,10,10,false,,,
23,2048,0.15,0.25,30,true,40,29,10,false,-1,1,true,,,
24,2049,0.15,0.25,30,true,40,34,10,false,4,4,false,,,
25,2050,0.15,0.25,30,true,40,34,10,false,4,4,false,,,
26,2051,0.15,0.25,30,true,50,40,20,false,10,10,false,,,
27,2052,0.15,0.25,30,true,30,24,0,false,-6,6,false,,,
28,2053,0.15,0.25,30,true,40,32,10,false,2,2,true,,,
29,2054,0.15,0.25,30,true,60,14,30,false,-16,16,false,,,
30,2055,0.15,0.25,30,true,40,29,10,false,-1,1,true,,,
31,2056,0.15,0.25,30,true,50,42,20,false,12,12,false,,,
32,2057,0.15,0.25,30,true,40,34,10,false,4,4,false,,,
33,2058,0.15,0.25,30,true,40,31,10,false,1,1,true,,,
34,2059,0.15,0.25,30,true,40,34,10,false,4,4,false,,,
35,2060,0.15,0.25,30,true,40,31,10,false,1,1,true,,,
36,2061,0.15,0.25,30,true,30,21,0,false,-9,9,false,,,
37,2062,0.15,0.25,30,true,50,33,20,false,3,3,true,,,
38,2063,0.15,0.25,30,true,50,29,20,false,-1,1,true,,,
39,2064,0.15,0.25,30,true,30,22,0,false,-8,8,false,,,
40,2065,0.15,0.25,30,true,50,35,20,false,5,5,false,,,
41,2066,0.15,0.25,30,true,50,39,20,false,9,9,false,,,
42,2067,0.15,0.25,30,true,40,33,10,false,3,3,true,,,
43,2068,0.15,0.25,30,true,40,34,10,false,4,4,false,,,
44,2069,0.15,0.25,30,true,40,32,10,false,2,2,true,,,
45,2070,0.15,0.25,30,true,50,38,20,false,8,8,false,,,
46,2071,0.15,0.25,30,true,50,35,20,false,5,5,false,,,
47,2072,0.15,0.25,30,false,,,,false,,,,,,
48,2073,0.15,0.25,30,true,50,41,20,false,11,11,false,,,
49,2074,0.15,0.25,30,true,30,21,0,false,-9,9,false,,,
50,2075,0.15,0.25,30,true,40,33,10,false,3,3,true,,,
