rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,tau_error,abs_tau_error,tau_within_tolerance,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.15,0.25,30,true,40,34,10,false,4,4,false,,,
2,2027,0.15,0.25,30,true,30,16,0,false,-14,14,false,,,
3,2028,0.15,0.25,30,true,50,40,20,false,10,10,false,,,
4,2029,0.15,0.25,30,true,40,28,10,false,-2,2,true,,,
5,2030,0.15,0.25,30,true,30,24,0,false,-6,6,false,,,
6,2031,0.15,0.25,30,true,30,22,0,false,-8,8,false,,,
7,2032,0.15,0.25,30,true,60,46,30,false,16,16,false,,,
8,2033,0.15,0.25,30,true,50,43,20,false,13,13,false,,,
9,2034,0.15,0.25,30,true,40,32,10,false,2,2,true,,,
10,2035,0.15,0.25,30,true,40,26,10,false,-4,4,false,,,
11,2036,0.15,0.25,30,true,40,33,10,false,3,3,true,,,
12,2037,0.15,0.25,30,true,50,33,20,false,3,3,true,,,
13,2038,0.15,0.25,30,true,50,33,20,false,3,3,true,,,
14,2039,0.15,0.25,30,true,50,40,20,false,10,10,false,,,
15,2040,0.15,0.25,30,true,50,38,20,false,8,8,false,,,
16,2041,0.15,0.25,30,true,50,14,20,false,-16,16,false,,,
17,2042,0.15,0.25,30,false,,,,false,,,,,,
18,2043,0.15,0.25,30,true,50,42,20,false,12,12,false,,,
19,2044,0.15,0.25,30,true,50,42,20,false,12,12,false,,,
20,2045,0.15,0.25,30,true,50,32,20,false,2,2,true,,,
