analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.1622503855302091,0.121200229472633,-0.07248258976430502,8,1,1.0,19.0,0.3115169964485033,0.0,0.30933333333333335,1,2026,0.15,0.25,30
30,15,false,,0.17601055661952186,0.11884341658089531,-0.08340946485931833,12,2,1.0,27.0,0.23370896619304263,0.03674669279764821,0.27566666666666667,1,2026,0.15,0.25,30
40,20,true,,0.14635009805430016,0.6510118901630546,0.49970734684678847,34,35,3.0,39.0,0.8874172185430463,0.2379011716760061,0.246,1,2026,0.15,0.25,30
20,10,false,,0.1626292839426089,0.1158137019738079,-0.06768738799721497,9,4,1.0,19.0,0.3435873166114529,0.0,0.307,2,2027,0.15,0.25,30
30,15,false,,0.13696231975092243,0.20895782650722144,0.10140422930460466,16,27,1.0,28.0,0.7705649157581764,0.12289395441030723,0.2916666666666667,2,2027,0.15,0.25,30
40,20,true,,0.1566203502628915,0.5878481143533395,0.43473706642996396,34,36,26.0,39.0,0.9625935162094763,0.3645885286783042,0.23533333333333334,2,2027,0.15,0.25,30
20,10,false,,0.1837659709851088,0.149416912425494,-0.05081035896141459,7,3,1.0,18.0,0.37433671008200675,0.0,0.311,3,2028,0.15,0.25,30
30,15,false,,0.15620512077359788,0.6363583288930262,0.4741481973613084,25,28,2.0,29.0,0.787674779906784,0.3702744691869498,0.23833333333333334,3,2028,0.15,0.25,30
40,20,false,,0.15722721517299373,0.6925302594301601,0.5299617452477321,36,35,29.0,39.0,0.9444158517756047,0.25115800308800823,0.22066666666666668,3,2028,0.15,0.25,30
50,25,true,,0.17328809953114327,0.6532666412565801,0.4840917356590039,40,43,4.0,48.0,0.9242630385487528,0.09750566893424037,0.24166666666666667,3,2028,0.15,0.25,30
20,10,false,,0.15773606153636008,0.25121684517496534,0.11528624552684921,12,14,1.0,19.0,0.6349056603773585,0.0,0.304,4,2029,0.15,0.25,30
30,15,false,,0.1607373378621599,0.14476194375936124,-0.024143465377065465,11,2,1.0,28.0,0.4324719648951731,0.0643588493417845,0.2773333333333333,4,2029,0.15,0.25,30
40,20,true,,0.15634787157888197,0.23100191378926885,0.09174266529206171,28,36,4.0,39.0,0.809040590405904,0.23247232472324722,0.259,4,2029,0.15,0.25,30
20,10,false,,0.12407546682789947,0.3814938517427287,0.26398203574598383,15,15,8.0,19.0,0.8769685039370079,0.0,0.31266666666666665,5,2030,0.15,0.25,30
30,15,false,,0.1333501826399753,0.31847643511249923,0.18767551849964148,24,26,3.0,29.0,0.7758707723372035,0.24835941443715295,0.29833333333333334,5,2030,0.15,0.25,30
40,20,false,,0.13925515344636508,0.16473934769543797,0.03222867078741623,11,8,2.0,28.0,0.6234718826405868,0.03667481662591687,0.2826666666666667,5,2030,0.15,0.25,30
50,25,false,,0.1596357771374217,0.1881151740966004,0.06204279127163395,12,3,1.0,45.0,0.641695416461311,0.04287826515524889,0.24566666666666667,5,2030,0.15,0.25,30
60,30,true,,0.15449497611864824,0.28486458463274034,0.13614860287779337,34,42,3.0,57.72499999999991,0.8789868667917449,0.25140712945590993,0.23433333333333334,5,2030,0.15,0.25,30
20,10,false,,0.17967683026498404,0.18428278208908305,0.007682205325635294,9,4,1.0,19.0,0.5121281464530892,0.0,0.3363333333333333,6,2031,0.15,0.25,30
30,15,false,,0.15300742482760415,0.3127123966404576,0.18237097984343156,22,26,2.0,29.0,0.736816874400767,0.19606903163950143,0.28,6,2031,0.15,0.25,30
40,20,false,,0.1668638498967006,0.18651394286257242,0.039469926693785296,16,2,1.0,38.0,0.603764705882353,0.1312941176470588,0.24433333333333335,6,2031,0.15,0.25,30
50,25,true,,0.17174216683269775,0.2549882364769048,0.09801536848622253,35,2,2.0,49.0,0.8176470588235294,0.12081447963800905,0.234,6,2031,0.15,0.25,30
20,10,false,,0.2816152074356533,0.16429320449937895,-0.14264288136843065,5,1,1.0,18.0,0.3205065757428154,0.0,0.29733333333333334,7,2032,0.15,0.25,30
30,15,false,,0.18056462974334891,0.3924686713984598,0.22376965716880737,25,26,6.0,29.0,0.8220742150333016,0.3054234062797336,0.27666666666666667,7,2032,0.15,0.25,30
40,20,false,,0.20256295394047483,0.18427505526011967,-0.017896329275296607,6,4,1.0,26.0,0.4465753424657534,0.024657534246575342,0.23066666666666666,7,2032,0.15,0.25,30
50,25,false,,0.18895641761909668,0.22132762270814407,0.06314628340410677,15,5,1.0,45.0,0.6766985864113088,0.08390332877336981,0.232,7,2032,0.15,0.25,30
