analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_large_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,true,13.7023071,0.13492438541228235,0.665080343129317,0.523325788995507,16,17,5.0,19.0,1.0,0.9809451219512195,0.0,0.2663,1,2026,0.15,0.25,30
30,15,true,27.7806591,0.13122695918231037,0.3474593660648297,0.2175321003361897,25,26,4.0,29.0,1.0,0.9480904130943102,0.18269680436477007,0.259,1,2026,0.15,0.25,30
40,20,true,57.5630465,0.14099915615104808,0.33064559276029243,0.19170991936727222,32,35,7.0,39.0,1.0,0.9407208817396485,0.24396782841823056,0.2385,1,2026,0.15,0.25,30
50,25,true,147.1310509,0.15375483119724953,0.30632108186730245,0.16325234411716327,35,41,6.0,48.0,1.0,0.9646618625277162,0.1290188470066519,0.245,1,2026,0.15,0.25,30
60,30,true,87.1236781,0.4637063928842925,0.49087853012034344,0.02717213723605094,11,11,11.0,11.0,1.0,1.0,0.0,0.0001,1,2026,0.15,0.25,30
20,10,true,10.37455,0.11048312034154023,0.32123248450249514,0.21021613800803202,15,16,2.0,19.0,1.0,0.9500475737392959,0.0,0.28,2,2027,0.15,0.25,30
30,15,true,26.1353988,0.1292134581132628,0.32423959226920757,0.20324907288551833,22,26,3.0,29.0,1.0,0.9522064437318675,0.10719193770041227,0.2709,2,2027,0.15,0.25,30
40,20,true,63.0609841,0.1296647898748589,0.23342894394736938,0.12541715544594356,18,8,2.0,38.0,1.0,0.9352232891327541,0.15927450083828684,0.2482,2,2027,0.15,0.25,30
50,25,true,170.0083701,0.1608102620012967,0.3335950123404548,0.1817741699054545,35,36,8.0,48.0,1.0,0.9739521353960069,0.15866719555731854,0.2473,2,2027,0.15,0.25,30
60,30,true,285.4132971,0.15778030614806382,0.2910993243955873,0.158186748759689,33,37,4.0,57.0,1.0,0.9692733564013841,0.12373702422145329,0.2282,2,2027,0.15,0.25,30
20,10,true,13.9731093,0.14639826254914273,0.40553277201406407,0.26554515564393566,15,16,3.0,19.0,1.0,0.9657424880243867,0.0,0.2921,3,2028,0.15,0.25,30
30,15,true,35.0437243,0.15027027845351065,0.34570026451125224,0.21098491761526275,24,26,4.0,29.0,1.0,0.9334233018443545,0.1778377567851252,0.2443,3,2028,0.15,0.25,30
40,20,true,71.5046555,0.15196375448769314,0.43127270176142507,0.2813041383405468,34,35,3.0,39.0,1.0,0.9525330899132816,0.16020082154267457,0.224,3,2028,0.15,0.25,30
50,25,true,217.2099384,0.15960338340411284,0.30855029124034633,0.16740157895539237,35,40,7.0,48.0,1.0,0.961450020289463,0.09373731908562154,0.2303,3,2028,0.15,0.25,30
60,30,true,361.7402278,0.16717991566931412,0.4752963540594332,0.3019816311936746,40,39,7.0,58.0,1.0,0.9840568060021436,0.0842711682743837,0.2144,3,2028,0.15,0.25,30
20,10,true,13.0274747,0.14117216454376424,0.4301003258442344,0.28664394326757453,15,16,3.0,19.0,1.0,0.962770691189558,0.0,0.289,4,2029,0.15,0.25,30
30,15,true,29.1364516,0.13752659455286204,0.5328424564074855,0.3965650821338905,26,27,7.0,29.0,1.0,0.9633312616532007,0.21519577377252952,0.2453,4,2029,0.15,0.25,30
40,20,true,72.593994,0.15379150371863548,0.6790441394980801,0.5191290666585412,35,35,21.0,39.0,1.0,0.9950551003108222,0.19369878496750495,0.2273,4,2029,0.15,0.25,30
50,25,true,165.6388531,0.15519177032252648,0.2928631441429289,0.16333306868784525,30,43,4.0,48.0,1.0,0.9535179429217293,0.0963549025148347,0.2478,4,2029,0.15,0.25,30
60,30,true,299.2912822,0.17206955564875054,0.6081895482529339,0.4332684032124813,47,55,10.0,59.0,1.0,0.9918076109936576,0.04730443974630021,0.2067,4,2029,0.15,0.25,30
20,10,true,13.9236141,0.10230083628742105,0.4075669332320514,0.3014401560975084,13,13,3.0,19.0,1.0,0.9720392329087981,0.0,0.3096,5,2030,0.15,0.25,30
