analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.16812127591254647,0.14148603670495913,-0.04306929176152899,8,1,1.0,19.0,0.4172164624568018,0.0,0.3054,1,2026,0.15,0.25,30
30,15,false,,0.1711623782996065,0.1339926410423421,-0.05062028337177316,9,3,1.0,27.0,0.373862947240752,0.0585203153426319,0.2794,1,2026,0.15,0.25,30
40,20,false,,0.16784194447649992,0.16400098983017622,0.020561664838316715,9,5,1.0,38.0,0.5305237062286954,0.08304927176944531,0.249,1,2026,0.15,0.25,30
50,25,true,,0.15968126186131415,0.35781158667768065,0.2055974840472448,37,42,5.0,48.0,0.919026047565119,0.11636466591166478,0.2412,1,2026,0.15,0.25,30
20,10,false,,0.18646464417683303,0.10547462792150022,-0.10029549255385704,6,1,1.0,17.0,0.2511584800741427,0.0,0.2976,2,2027,0.15,0.25,30
30,15,true,,0.13978792586179878,0.29932241280258964,0.19626496176595118,19,26,1.0,29.0,0.747507237053715,0.19716950788034737,0.2762,2,2027,0.15,0.25,30
20,10,false,,0.18598762578378442,0.15008981987746497,-0.046819934922404466,9,3,1.0,18.0,0.38500296384113813,0.0,0.3166,3,2028,0.15,0.25,30
30,15,false,,0.2244259113864446,0.13988564619526017,-0.10924936014747946,7,2,1.0,25.0,0.23100211928549802,0.016954283984256736,0.259,3,2028,0.15,0.25,30
40,20,false,,0.18241880862051765,0.18360790196472815,0.020294579860050593,18,1,1.0,39.0,0.5139906728847435,0.07495003331112592,0.1832,3,2028,0.15,0.25,30
50,25,true,,0.16893790428613706,0.40399371496378905,0.23672545003408196,38,43,9.0,48.0,0.9634894091415831,0.15858416945373466,0.2252,3,2028,0.15,0.25,30
20,10,true,,0.15247609577140991,0.272857215885178,0.15249683853193371,13,15,1.0,19.0,0.7199879044451164,0.0,0.3144,4,2029,0.15,0.25,30
20,10,true,,0.11801070614845471,0.33775312812328145,0.23417711482248327,14,15,4.0,19.0,0.8565323565323565,0.0,0.3222,5,2030,0.15,0.25,30
20,10,false,,0.18238978418476634,0.16619478054919157,-0.014214386359932524,8,4,1.0,18.0,0.44934172867773325,0.0,0.3338,6,2031,0.15,0.25,30
30,15,false,,0.18902865312398526,0.1418253225360689,-0.06738969965612801,7,3,1.0,27.0,0.3547297297297297,0.05067567567567568,0.279,6,2031,0.15,0.25,30
40,20,false,,0.17069707849811966,0.18420001178297227,0.04392327895966219,15,34,1.0,38.0,0.5933874709976799,0.146461716937355,0.206,6,2031,0.15,0.25,30
50,25,true,,0.16989617136491816,0.2521466549923166,0.10797674912344221,31,39,2.0,48.0,0.7963749645992637,0.11866326819597847,0.2372,6,2031,0.15,0.25,30
20,10,false,,0.21625504022819442,0.1826189049547236,-0.04558874316228215,7,3,1.0,19.0,0.45051608986035213,0.0,0.3048,7,2032,0.15,0.25,30
30,15,false,,0.2253312773007736,0.16843743836133163,-0.0938076347601563,10,2,1.0,28.0,0.3364215402431963,0.07122177185871453,0.2752,7,2032,0.15,0.25,30
40,20,true,,0.18366651893067545,0.2470172867812447,0.10429333917861588,33,35,2.0,39.0,0.7300793884151721,0.21434872096442223,0.2302,7,2032,0.15,0.25,30
20,10,false,,0.16662685547255277,0.27888787992610714,0.14168960346091006,12,16,1.0,19.0,0.6737416616130989,0.0,0.299,8,2033,0.15,0.25,30
30,15,false,,0.16164098083103962,0.18750793183990053,0.04359477995327603,22,26,2.0,29.0,0.5755636806825106,0.23705057891529555,0.26,8,2033,0.15,0.25,30
40,20,true,,0.16530533462294136,0.5031296872142585,0.3453193657210455,34,36,2.0,39.0,0.7163613392293114,0.10518003790271636,0.2284,8,2033,0.15,0.25,30
20,10,false,,0.21687144065009537,0.15798513830272143,-0.06163193008713386,4,2,1.0,19.0,0.43451143451143454,0.0,0.2534,9,2034,0.15,0.25,30
30,15,true,,0.15153850410818637,0.46945837523341755,0.33703472843299187,25,27,3.0,29.0,0.7664783427495292,0.32799748901443815,0.2732,9,2034,0.15,0.25,30
20,10,false,,0.1712653281970362,0.1502145885582587,-0.014599673962850779,8,5,1.0,19.0,0.4651664611590629,0.0,0.2962,10,2035,0.15,0.25,30
30,15,false,,0.1495701104165407,0.17641889272294975,0.06383664583233054,21,27,1.0,29.0,0.5980576441102757,0.18859649122807018,0.2656,10,2035,0.15,0.25,30
40,20,false,,0.16022084624263067,0.20080793203445194,0.06093069112575267,28,35,3.0,39.0,0.6728124085455077,0.2414398595258999,0.2584,10,2035,0.15,0.25,30
