rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.15,0.25,30,true,40,33,10,false,0.006926,508.5392524,508.54617840000003
2,2027,0.15,0.25,30,true,50,37,20,false,0.0174771,586.7719188,586.7893958999999
3,2028,0.15,0.25,30,true,60,41,30,false,0.0328075,828.3905467,828.4233542
4,2029,0.15,0.25,30,true,50,36,20,false,0.0083638,909.3754353,909.3837991
5,2030,0.15,0.25,30,true,20,14,-10,true,0.0068064,636.4469591,636.4537654999999
6,2031,0.15,0.25,30,true,50,38,20,false,0.0252402,858.9098786,858.9351187999999
7,2032,0.15,0.25,30,true,50,37,20,false,0.0285105,1081.0392089,1081.0677194
8,2033,0.15,0.25,30,true,50,41,20,false,0.0227295,846.5724484,846.5951779
9,2034,0.15,0.25,30,true,30,24,0,false,0.0219014,797.9651528,797.9870542000001
10,2035,0.15,0.25,30,true,50,33,20,false,0.0139244,783.1651845,783.1791089
