rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.15,0.25,30,true,20,16,-10,true,0.0071468,333.9396648,333.9468116
2,2027,0.15,0.25,30,true,20,15,-10,true,0.0228964,554.9948092,555.0177056
3,2028,0.15,0.25,30,true,20,15,-10,true,0.012142,699.4740211,699.4861631
4,2029,0.15,0.25,30,true,20,15,-10,true,0.0075855,579.690997,579.6985825
5,2030,0.15,0.25,30,true,20,13,-10,true,0.0259276,481.4292163,481.4551439
6,2031,0.15,0.25,30,true,20,15,-10,true,0.0140135,668.0059812,668.0199947
7,2032,0.15,0.25,30,true,20,15,-10,true,0.0249565,504.2669398,504.29189629999996
8,2033,0.15,0.25,30,true,20,15,-10,true,0.0100185,565.2126322,565.2226507
9,2034,0.15,0.25,30,true,20,14,-10,true,0.0103164,601.6828038,601.6931202
10,2035,0.15,0.25,30,true,20,15,-10,true,0.0100385,598.5796375,598.5896759999999
11,2036,0.15,0.25,30,true,20,16,-10,true,0.0103488,841.0814525,841.0918012999999
12,2037,0.15,0.25,30,true,20,14,-10,true,0.0166175,653.2470278,653.2636453
13,2038,0.15,0.25,30,true,20,16,-10,true,0.0052293,671.1062614,671.1114907
14,2039,0.15,0.25,30,true,20,15,-10,true,0.0191844,770.460619,770.4798033999999
15,2040,0.15,0.25,30,true,20,15,-10,true,0.0094371,783.3283609,783.337798
16,2041,0.15,0.25,30,true,20,15,-10,true,0.0072686,704.7494257,704.7566942999999
17,2042,0.15,0.25,30,true,20,14,-10,true,0.0100552,735.8218829,735.8319381
18,2043,0.15,0.25,30,true,20,15,-10,true,0.007884,862.7359528,862.7438367999999
19,2044,0.15,0.25,30,true,20,15,-10,true,0.0290029,853.189672,853.2186749
20,2045,0.15,0.25,30,true,20,14,-10,true,0.017234,308.7616397,308.77887369999996
