analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
20,10,false,,0.10287170911347765,0.1259447741947194,0.046675709868273824,9,17,1.0,19.0,0.6159496327387198,0.0,0.2952,1,2026,0.1,0.15,45
30,15,true,,0.10663542710538101,0.23771148977608733,0.14501824927218102,21,27,2.0,29.0,0.7510311211098613,0.0,0.2836,1,2026,0.1,0.15,45
20,10,false,,0.119375693390931,0.3689037436352459,0.2617040859880767,15,16,3.0,19.0,0.6853237878294826,0.0,0.293,2,2027,0.1,0.15,45
30,15,false,,0.15380383295040165,0.09107563912521034,-0.08093142014286364,8,3,1.0,27.0,0.35035349567949725,0.0,0.2728,2,2027,0.1,0.15,45
40,20,false,,0.7373786262581709,0.07615618951487758,-0.6611480866226186,2,1,1.0,6.0,0.0,0.0,0.104,2,2027,0.1,0.15,45
50,25,false,,0.2561702455088643,0.08667069228108783,-0.17932062112277924,5,3,1.0,44.0,0.2143928035982009,0.04697651174412794,0.121,2,2027,0.1,0.15,45
60,30,true,,0.09942336248267504,0.39406844425374227,0.2871608692839709,53,55,37.0,59.0,0.8892128279883382,0.14965986394557823,0.1492,2,2027,0.1,0.15,45
20,10,false,,0.11255516727613565,0.4071468095452721,0.2941959521882801,15,17,2.0,19.0,0.8210455764075067,0.0,0.2946,3,2028,0.1,0.15,45
30,15,false,,0.11369760313492945,0.11609228531712798,0.008184803293002474,14,27,1.0,29.0,0.5220561429092235,0.0,0.2868,3,2028,0.1,0.15,45
40,20,false,,0.12218847090970875,0.1149419776621395,-0.003429462194666208,15,4,1.0,38.0,0.48896769109535065,0.0,0.2724,3,2028,0.1,0.15,45
50,25,false,,0.15652176848087665,0.11353326756943591,-0.029751035510638013,10,3,1.0,48.0,0.42315449778136344,0.10931827349737798,0.247,3,2028,0.1,0.15,45
60,30,false,,0.2412752033426225,0.10879347263773427,-0.13142521101885368,4,2,1.0,55.0,0.2409071459135644,0.03551561831407788,0.2052,3,2028,0.1,0.15,45
20,10,false,,0.16698047324586188,0.109483998297604,-0.06778699840366736,7,2,1.0,19.0,0.3285387381497221,0.0,0.279,4,2029,0.1,0.15,45
30,15,false,,0.29293474505014966,0.09673186707770477,-0.1973526295485855,4,2,1.0,25.0,0.17304121797252134,0.0,0.2248,4,2029,0.1,0.15,45
40,20,false,,0.11692470103777726,0.41163264660031634,0.2994859491420789,35,36,17.0,39.0,0.7676882330684828,0.0,0.256,4,2029,0.1,0.15,45
