rep,seed,true_theta1,true_theta2,true_t_star,detected,first_detection_day,first_detection_tau,detection_delay,false_alarm,tau_error,abs_tau_error,tau_within_tolerance,sim_elapsed_seconds,detection_elapsed_seconds,total_elapsed_seconds
1,2026,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
2,2027,0.1,0.25,15,true,30,19,15,false,4,4,false,,,
3,2028,0.1,0.25,15,true,40,34,25,false,19,19,false,,,
4,2029,0.1,0.25,15,true,40,19,25,false,4,4,false,,,
5,2030,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
6,2031,0.1,0.25,15,true,40,26,25,false,11,11,false,,,
7,2032,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
8,2033,0.1,0.25,15,true,50,29,35,false,14,14,false,,,
9,2034,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
10,2035,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
11,2036,0.1,0.25,15,true,40,25,25,false,10,10,false,,,
12,2037,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
13,2038,0.1,0.25,15,true,30,21,15,false,6,6,false,,,
14,2039,0.1,0.25,15,true,30,21,15,false,6,6,false,,,
15,2040,0.1,0.25,15,true,30,15,15,false,0,0,true,,,
16,2041,0.1,0.25,15,true,30,19,15,false,4,4,false,,,
17,2042,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
18,2043,0.1,0.25,15,true,40,34,25,false,19,19,false,,,
19,2044,0.1,0.25,15,true,40,34,25,false,19,19,false,,,
20,2045,0.1,0.25,15,true,40,32,25,false,17,17,false,,,
21,2046,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
22,2047,0.1,0.25,15,true,30,18,15,false,3,3,true,,,
23,2048,0.1,0.25,15,true,30,21,15,false,6,6,false,,,
24,2049,0.1,0.25,15,true,40,32,25,false,17,17,false,,,
25,2050,0.1,0.25,15,true,30,17,15,false,2,2,true,,,
26,2051,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
27,2052,0.1,0.25,15,true,40,30,25,false,15,15,false,,,
28,2053,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
29,2054,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
30,2055,0.1,0.25,15,true,30,21,15,false,6,6,false,,,
31,2056,0.1,0.25,15,true,50,37,35,false,22,22,false,,,
32,2057,0.1,0.25,15,true,30,24,15,false,9,9,false,,,
33,2058,0.1,0.25,15,true,30,14,15,false,-1,1,true,,,
34,2059,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
35,2060,0.1,0.25,15,true,30,21,15,false,6,6,false,,,
36,2061,0.1,0.25,15,true,30,12,15,false,-3,3,true,,,
37,2062,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
38,2063,0.1,0.25,15,true,40,33,25,false,18,18,false,,,
39,2064,0.1,0.25,15,true,20,13,5,false,-2,2,true,,,
40,2065,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
41,2066,0.1,0.25,15,true,40,32,25,false,17,17,false,,,
42,2067,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
43,2068,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
44,2069,0.1,0.25,15,true,40,15,25,false,0,0,true,,,
45,2070,0.1,0.25,15,true,50,36,35,false,21,21,false,,,
46,2071,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
47,2072,0.1,0.25,15,true,40,26,25,false,11,11,false,,,
48,2073,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
49,2074,0.1,0.25,15,true,30,11,15,false,-4,4,false,,,
50,2075,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
51,2076,0.1,0.25,15,true,30,14,15,false,-1,1,true,,,
52,2077,0.1,0.25,15,true,30,21,15,false,6,6,false,,,
53,2078,0.1,0.25,15,false,,,,false,,,,,,
54,2079,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
55,2080,0.1,0.25,15,true,30,17,15,false,2,2,true,,,
56,2081,0.1,0.25,15,true,30,24,15,false,9,9,false,,,
57,2082,0.1,0.25,15,true,30,24,15,false,9,9,false,,,
58,2083,0.1,0.25,15,true,40,31,25,false,16,16,false,,,
59,2084,0.1,0.25,15,true,40,24,25,false,9,9,false,,,
60,2085,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
61,2086,0.1,0.25,15,true,30,15,15,false,0,0,true,,,
62,2087,0.1,0.25,15,true,60,45,45,false,30,30,false,,,
63,2088,0.1,0.25,15,true,30,18,15,false,3,3,true,,,
64,2089,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
65,2090,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
66,2091,0.1,0.25,15,true,40,18,25,false,3,3,true,,,
67,2092,0.1,0.25,15,true,40,34,25,false,19,19,false,,,
68,2093,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
69,2094,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
70,2095,0.1,0.25,15,true,30,24,15,false,9,9,false,,,
71,2096,0.1,0.25,15,true,30,19,15,false,4,4,false,,,
72,2097,0.1,0.25,15,true,30,19,15,false,4,4,false,,,
73,2098,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
74,2099,0.1,0.25,15,true,50,33,35,false,18,18,false,,,
75,2100,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
76,2101,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
77,2102,0.1,0.25,15,true,20,13,5,false,-2,2,true,,,
78,2103,0.1,0.25,15,true,40,34,25,false,19,19,false,,,
79,2104,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
80,2105,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
81,2106,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
82,2107,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
83,2108,0.1,0.25,15,true,40,25,25,false,10,10,false,,,
84,2109,0.1,0.25,15,true,20,13,5,false,-2,2,true,,,
85,2110,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
86,2111,0.1,0.25,15,true,40,31,25,false,16,16,false,,,
87,2112,0.1,0.25,15,true,40,21,25,false,6,6,false,,,
88,2113,0.1,0.25,15,true,30,15,15,false,0,0,true,,,
89,2114,0.1,0.25,15,true,30,24,15,false,9,9,false,,,
90,2115,0.1,0.25,15,true,40,24,25,false,9,9,false,,,
91,2116,0.1,0.25,15,true,30,19,15,false,4,4,false,,,
92,2117,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
93,2118,0.1,0.25,15,true,30,17,15,false,2,2,true,,,
94,2119,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
95,2120,0.1,0.25,15,true,40,28,25,false,13,13,false,,,
96,2121,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
97,2122,0.1,0.25,15,true,40,28,25,false,13,13,false,,,
98,2123,0.1,0.25,15,true,40,33,25,false,18,18,false,,,
99,2124,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
100,2125,0.1,0.25,15,true,40,32,25,false,17,17,false,,,
101,2126,0.1,0.25,15,true,40,15,25,false,0,0,true,,,
102,2127,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
103,2128,0.1,0.25,15,true,30,19,15,false,4,4,false,,,
104,2129,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
105,2130,0.1,0.25,15,true,30,23,15,false,8,8,false,,,
106,2131,0.1,0.25,15,true,50,35,35,false,20,20,false,,,
107,2132,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
108,2133,0.1,0.25,15,true,30,22,15,false,7,7,false,,,
109,2134,0.1,0.25,15,true,50,35,35,false,20,20,false,,,
110,2135,0.1,0.25,15,true,30,13,15,false,-2,2,true,,,
111,2136,0.1,0.25,15,true,30,21,15,false,6,6,false,,,
112,2137,0.1,0.25,15,true,30,24,15,false,9,9,false,,,
113,2138,0.1,0.25,15,true,30,21,15,false,6,6,false,,,
114,2139,0.1,0.25,15,true,40,31,25,false,16,16,false,,,
115,2140,0.1,0.25,15,true,30,20,15,false,5,5,false,,,
116,2141,0.1,0.25,15,true,20,14,5,false,-1,1,true,,,
