n_reps,true_theta1,true_theta2,true_t_star,p_effect_threshold,guard_days,tau_tolerance,detection_rate,false_alarm_rate,median_detection_delay,median_abs_tau_error,tau_within_tolerance_rate
20,0.15,0.25,30,0.6,4,3,1.0,0.35,0.0,14.0,0.0
20,0.15,0.25,30,0.6,5,3,1.0,0.3,0.0,13.0,0.1
20,0.15,0.25,30,0.6,6,3,1.0,0.25,5.0,13.0,0.1
20,0.15,0.25,30,0.65,4,3,1.0,0.25,0.0,9.0,0.1
20,0.15,0.25,30,0.65,5,3,1.0,0.2,10.0,8.0,0.2
20,0.15,0.25,30,0.65,6,3,1.0,0.15,10.0,9.0,0.2
20,0.15,0.25,30,0.7,4,3,0.95,0.1,10.0,5.0,0.2631578947368421
20,0.15,0.25,30,0.7,5,3,0.95,0.05,10.0,5.0,0.3157894736842105
20,0.15,0.25,30,0.7,6,3,0.95,0.0,20.0,8.0,0.3157894736842105
20,0.15,0.25,30,0.75,4,3,0.95,0.1,10.0,5.0,0.21052631578947367
20,0.15,0.25,30,0.75,5,3,0.95,0.05,20.0,5.0,0.2631578947368421
20,0.15,0.25,30,0.75,6,3,0.95,0.0,20.0,6.0,0.2631578947368421
20,0.15,0.25,30,0.8,4,3,0.95,0.1,20.0,5.0,0.15789473684210525
20,0.15,0.25,30,0.8,5,3,0.95,0.05,20.0,5.0,0.21052631578947367
20,0.15,0.25,30,0.8,6,3,0.95,0.0,20.0,5.0,0.21052631578947367
20,0.15,0.25,30,0.85,4,3,0.9,0.05,20.0,8.0,0.2222222222222222
20,0.15,0.25,30,0.85,5,3,0.9,0.05,20.0,10.0,0.2222222222222222
20,0.15,0.25,30,0.85,6,3,0.9,0.0,20.0,10.0,0.2222222222222222
20,0.15,0.25,30,0.9,4,3,0.6,0.0,20.0,8.0,0.16666666666666666
20,0.15,0.25,30,0.9,5,3,0.6,0.0,20.0,9.0,0.16666666666666666
20,0.15,0.25,30,0.9,6,3,0.6,0.0,20.0,9.0,0.16666666666666666
